"fips_code","popsize"
"01001",55380
"01003",212830
"01005",25361
"01007",22493
"01009",57681
"01011",10248
"01013",19828
"01015",114618
"01017",33660
"01019",25903
"01021",44055
"01023",12925
"01025",24128
"01027",13337
"01029",14916
"01031",51662
"01033",54771
"01035",12394
"01037",10757
"01039",37200
"01041",13844
"01043",82853
"01045",49277
"01047",39149
"01049",71310
"01051",81144
"01053",37057
"01055",102748
"01057",16494
"01059",31466
"01061",26417
"01063",8324
"01065",14809
"01067",17133
"01069",104702
"01071",51852
"01073",659680
"01075",13885
"01077",92556
"01079",33058
"01081",161152
"01083",94727
"01085",10079
"01087",18708
"01089",362276
"01091",19321
"01093",29866
"01095",95643
"01097",414114
"01099",21270
"01101",226941
"01103",119213
"01105",9293
"01107",20243
"01109",33333
"01111",22647
"01113",57952
"01115",87989
"01117",213432
"01119",12797
"01121",80387
"01123",40541
"01125",207305
"01127",64110
"01129",16541
"01131",10681
"01133",23784
"02013",3385
"02016",5698
"02020",293531
"02050",18134
"02060",875
"02068",2246
"02070",4961
"02090",99072
"02100",2518
"02105",2139
"02110",32227
"02122",58464
"02130",13800
"02150",13451
"02158",8250
"02164",1393
"02170",105369
"02180",9988
"02185",9792
"02188",7715
"02195",3257
"02198",6407
"02220",8640
"02230",1107
"02240",6878
"02261",9243
"02275",2502
"02282",649
"02290",5377
"04001",71511
"04003",125867
"04005",141274
"04007",53546
"04009",37996
"04011",9522
"04012",20793
"04013",4328810
"04015",207695
"04017",109270
"04019",1027207
"04021",432793
"04023",46480
"04025",228067
"04027",209468
"05001",17914
"05003",20270
"05005",41427
"05007",265759
"05009",37331
"05011",10874
"05013",5192
"05015",27965
"05017",10615
"05019",22386
"05021",14889
"05023",25100
"05025",8128
"05027",23776
"05029",20858
"05031",107345
"05033",62739
"05035",48672
"05037",16824
"05039",7279
"05041",11709
"05043",18417
"05045",123624
"05047",17738
"05049",12231
"05051",98555
"05053",18126
"05055",44937
"05057",21842
"05059",33597
"05061",13311
"05063",37427
"05065",13570
"05067",17027
"05069",69282
"05071",26372
"05073",6800
"05075",16549
"05077",9194
"05079",13455
"05081",12347
"05083",21668
"05085",72528
"05087",16211
"05089",16476
"05091",43572
"05093",42126
"05095",7050
"05097",8950
"05099",8351
"05101",7812
"05103",23830
"05105",10355
"05107",18606
"05109",10756
"05111",23896
"05113",20094
"05115",63761
"05117",8189
"05119",392967
"05121",17695
"05123",25900
"05125",119415
"05127",10376
"05129",7908
"05131",127591
"05133",17081
"05135",17139
"05137",12475
"05139",39449
"05141",16642
"05143",232289
"05145",78762
"05147",6533
"05149",21464
"06001",1656754
"06003",1039
"06005",38429
"06007",225817
"06009",45514
"06011",21454
"06013",1142251
"06015",27495
